m49,area,item_code,item,year,usd_tonne
196,Cyprus,372,Lettuce and chicory,2024,1098.6
196,Cyprus,388,Tomatoes,2024,1342.6
196,Cyprus,397,Cucumbers and gherkins,2024,1074.6
196,Cyprus,399,Eggplants (aubergines),2024,731.0
196,Cyprus,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,1389.4
196,Cyprus,430,Okra,2024,1690.0
196,Cyprus,544,Strawberries,2024,2248.8
196,Cyprus,568,Cantaloupes and other melons,2024,567.4
203,Czechia,372,Lettuce and chicory,2024,2237.9
203,Czechia,388,Tomatoes,2024,1994.1
203,Czechia,397,Cucumbers and gherkins,2024,1330.5
203,Czechia,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,1140.7
203,Czechia,544,Strawberries,2024,4951.4
203,Czechia,568,Cantaloupes and other melons,1993,175.9
204,Benin,388,Tomatoes,2024,776.5
204,Benin,430,Okra,2024,706.1
208,Denmark,372,Lettuce and chicory,2024,1433.0
208,Denmark,388,Tomatoes,2024,2951.6
208,Denmark,397,Cucumbers and gherkins,2024,2263.1
208,Denmark,544,Strawberries,2024,4864.2
214,Dominican Republic,372,Lettuce and chicory,2023,323.8
214,Dominican Republic,388,Tomatoes,2024,472.2
214,Dominican Republic,397,Cucumbers and gherkins,2024,277.0
214,Dominican Republic,399,Eggplants (aubergines),2024,526.5
214,Dominican Republic,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,1691.6
214,Dominican Republic,544,Strawberries,2024,1886.8
214,Dominican Republic,568,Cantaloupes and other melons,2024,357.8
218,Ecuador,372,Lettuce and chicory,2023,328.9
218,Ecuador,388,Tomatoes,2024,617.4
218,Ecuador,397,Cucumbers and gherkins,2024,382.5
218,Ecuador,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,526.4
218,Ecuador,544,Strawberries,2024,1084.1
218,Ecuador,568,Cantaloupes and other melons,2024,326.3
222,El Salvador,388,Tomatoes,2022,816.4
222,El Salvador,397,Cucumbers and gherkins,2022,434.1
222,El Salvador,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2022,685.8
222,El Salvador,568,Cantaloupes and other melons,2013,387.2
230,Ethiopia PDR,388,Tomatoes,1992,258.0
231,Ethiopia,372,Lettuce and chicory,2018,308.1
231,Ethiopia,388,Tomatoes,2018,275.6
231,Ethiopia,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2018,482.0
233,Estonia,388,Tomatoes,2024,3589.0
233,Estonia,397,Cucumbers and gherkins,2015,850.6
233,Estonia,544,Strawberries,2015,3783.7
242,Fiji,388,Tomatoes,2024,1998.7
242,Fiji,397,Cucumbers and gherkins,2024,1047.0
242,Fiji,399,Eggplants (aubergines),2024,1138.5
242,Fiji,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,4039.4
242,Fiji,430,Okra,2024,881.7
242,Fiji,568,Cantaloupes and other melons,2024,716.4
246,Finland,388,Tomatoes,2024,2347.6
246,Finland,397,Cucumbers and gherkins,2024,1860.7
246,Finland,544,Strawberries,2024,10493.7
250,France,372,Lettuce and chicory,2024,619.1
250,France,388,Tomatoes,2024,931.6
250,France,397,Cucumbers and gherkins,2024,1106.5
